,Ticker,Parametro Utilizado,Resultado 12 meses,Resultado 3 meses,Total de operações,Operações vencedoras,Operações perdedoras,Operações vencedoras(%),Operações Perdedoras(%),Maior DD da operação,Maior ganho da operação,Lucro Médio
2023-01-18,AIEC11.SA,-3.5,12.21,4.55,2,2,0,100.0,0.0,0.0,2.33,0.08
2023-01-18,AIEC11.SA,-3.6,10.63,4.75,2,2,0,100.0,0.0,0.0,2.42,0.08
2023-01-18,AIEC11.SA,-3.7,8.47,4.95,2,2,0,100.0,0.0,0.0,2.52,0.09
2023-01-18,AIEC11.SA,-3.8,6.44,2.53,1,1,0,100.0,0.0,0.0,2.53,0.05
2023-01-18,AIEC11.SA,-3.9,4.33,0.0,0,0,0,,,0.0,0.0,0.0
2023-01-18,AIEC11.SA,-4.0,4.71,0.0,0,0,0,,,0.0,0.0,0.0
2023-01-18,AIRB34.SA,-0.5,-83.96,-31.63,69,29,40,42.03,57.97,-8.61,6.33,-0.35
2023-01-18,AIRB34.SA,-0.6,-81.07,-32.12,66,26,40,39.39,60.61,-8.51,6.4,-0.36
2023-01-18,AIRB34.SA,-0.7,-81.1,-33.24,63,24,39,38.1,61.9,-8.41,6.51,-0.37
2023-01-18,AIRB34.SA,-0.8,-74.2,-30.03,60,24,36,40.0,60.0,-8.3,6.62,-0.33
2023-01-18,AIRB34.SA,-0.9,-64.47,-27.44,58,24,34,41.38,58.62,-8.24,6.73,-0.3
2023-01-18,AIRB34.SA,-1.0,-62.47,-21.65,57,24,33,42.11,57.89,-8.13,6.84,-0.24
2023-01-18,AIRB34.SA,-1.1,-58.47,-19.3,55,22,33,40.0,60.0,-8.03,6.91,-0.21
2023-01-18,AIRB34.SA,-1.2,-64.91,-16.23,54,23,31,42.59,57.41,-7.93,7.02,-0.18
2023-01-18,AIRB34.SA,-1.3,-58.13,-14.37,48,22,26,45.83,54.17,-7.83,7.13,-0.16
2023-01-18,AIRB34.SA,-1.4,-52.02,-18.22,48,22,26,45.83,54.17,-7.73,3.87,-0.2
2023-01-18,AIRB34.SA,-1.5,-55.64,-16.79,46,21,25,45.65,54.35,-7.62,3.95,-0.19
2023-01-18,AIRB34.SA,-1.6,-55.32,-15.36,44,21,23,47.73,52.27,-7.52,4.07,-0.17
2023-01-18,AIRB34.SA,-1.7,-51.53,-12.9,42,20,22,47.62,52.38,-7.42,4.15,-0.14
2023-01-18,AIRB34.SA,-1.8,-42.66,-8.46,42,24,18,57.14,42.86,-7.32,4.27,-0.09
2023-01-18,AIRB34.SA,-1.9,-46.08,-7.42,40,23,17,57.5,42.5,-7.22,4.35,-0.08
2023-01-18,AIRB34.SA,-2.0,-42.16,-11.61,37,21,16,56.76,43.24,-7.11,3.93,-0.13
